10/8/20,1,2637,557,3520,74
10/8/20,2,1503,1265,12903,65
10/8/20,3,0,0,0,0
10/8/20,4,5743,863,11551,121
10/8/20,5,16361,3575,63342,0
10/8/20,6,1990,731,8715,50
10/8/20,7,4527,384,26829,146
10/8/20,8,634,68,4092,0
10/8/20,9,651,132,2197,0
10/8/20,10,15254,3306,26741,228
10/8/20,11,7294,1265,23669,78
10/8/20,12,58,66,517,0
10/8/20,13,163,108,0,5
10/8/20,14,1421,1261,5719,0
10/8/20,15,500,671,1999,40
10/8/20,16,9159,3059,69432,0
10/8/20,17,3742,1450,9024,107
10/8/20,18,723,0,0,0
10/8/20,19,1234,868,18600,135
10/8/20,20,5609,524,11776,0
10/8/20,21,9565,444,13626,23
10/8/20,22,3979,761,11634,55
10/8/20,23,142,35,6831,0
10/8/20,24,7193,1401,40804,0
10/8/20,25,2160,1271,14147,98
10/8/20,26,2259,1505,10619,0
10/8/20,27,2,0,0,0
10/8/20,28,3074,578,0,0
10/8/20,29,197,614,4875,31
10/8/20,30,3722,2428,31254,0
10/8/20,31,234,527,1207,21
10/8/20,32,507,639,3497,32
10/8/20,33,449,78,2422,2
10/8/20,34,16160,1298,59559,124
10/8/20,35,896,425,3960,16
10/8/20,36,1649,480,3209,0
10/8/20,37,25555,1836,143975,0
10/8/20,38,4983,1539,29322,109
10/8/20,39,1085,1212,13035,93
10/8/20,40,594,482,5328,22
10/8/20,41,8299,1376,17561,0
10/8/20,42,715,526,0,0
10/8/20,43,1127,269,6695,16
10/8/20,44,3514,1050,18993,83
10/8/20,45,272,505,1976,20
10/8/20,46,2705,1992,25318,59
10/8/20,47,16334,4238,34428,0
10/8/20,48,501,1501,9081,54
10/8/20,49,3328,1844,17984,19
10/8/20,50,20,1,93,0
10/8/20,51,58,11,1370,0
10/8/20,52,2177,545,25865,30
10/8/20,53,1435,3274,13524,110
10/8/20,54,370,186,6129,0
10/8/20,55,54,193,904,8
10/7/20,0,59,274,10426,0
10/7/20,1,2601,941,7233,216
10/7/20,2,1482,809,9202,82
10/7/20,3,0,0,0,0
10/7/20,4,5733,604,6675,63
10/7/20,5,16228,2764,123521,0
10/7/20,6,1983,654,7316,28
10/7/20,7,4522,123,7488,0
10/7/20,8,632,45,2582,0
10/7/20,9,649,84,1576,0
10/7/20,10,15084,2582,23551,258
10/7/20,11,7259,1492,11903,154
10/7/20,12,57,54,422,0
10/7/20,13,160,83,1166,0
10/7/20,14,1415,950,4264,0
10/7/20,15,492,660,1295,21
10/7/20,16,9127,2630,56190,0
10/7/20,17,3727,1281,7417,106
10/7/20,18,723,1244,7048,85
10/7/20,19,1223,2393,13623,57
10/7/20,20,5604,2156,21979,0
10/7/20,21,9557,535,15625,32
10/7/20,22,3973,460,8217,52
10/7/20,23,142,39,6490,2
10/7/20,24,7169,1214,33459,0
10/7/20,25,2154,911,7494,69
10/7/20,26,2236,1068,6808,0
10/7/20,27,2,0,0,0
10/7/20,28,3051,1538,0,0
10/7/20,29,193,716,2740,47
10/7/20,30,3693,1711,16876,0
10/7/20,31,226,493,1093,27
10/7/20,32,507,498,4483,29
10/7/20,33,448,69,1588,2
10/7/20,34,16152,508,22615,62
10/7/20,35,894,315,6023,28
10/7/20,36,1636,431,1346,0
10/7/20,37,25545,1360,106886,0
10/7/20,38,4970,1424,29473,119
10/7/20,39,1075,1006,9556,113
10/7/20,40,583,294,4876,25
10/7/20,41,8272,1309,15550,0
10/7/20,42,705,31,0,0
10/7/20,43,1126,180,3089,24
10/7/20,44,3502,735,6725,61
10/7/20,45,258,1030,6273,27
10/7/20,46,2642,2080,20181,59
10/7/20,47,16230,4121,24071,0
10/7/20,48,496,1007,4832,55
10/7/20,49,3303,509,15670,154
10/7/20,50,20,-1,118,0
10/7/20,51,58,6,574,0
10/7/20,52,2165,387,9273,51
10/7/20,53,1426,2463,11188,141
10/7/20,54,369,203,3589,0
10/7/20,55,53,129,1034,1
10/6/20,0,58,0,0,0
10/6/20,1,2580,764,4702,0
10/6/20,2,1447,641,7995,72
10/6/20,3,0,0,0,0
10/6/20,4,5713,864,7733,-2316
10/6/20,5,16177,1677,127063,0
10/6/20,6,1968,461,6341,20
10/6/20,7,4521,121,17592,0
10/6/20,8,631,105,8356,0
10/6/20,9,646,103,1575,0
10/6/20,10,14945,2251,18644,237
10/6/20,11,7229,936,11099,167
10/6/20,12,55,61,586,0
10/6/20,13,157,50,866,0
10/6/20,14,1400,474,2355,0
10/6/20,15,487,458,1369,8
10/6/20,16,9085,1617,47896,0
10/6/20,17,3711,970,6074,85
10/6/20,18,706,0,0,0
10/6/20,19,1218,1036,11440,65
10/6/20,20,5592,532,12228,0
10/6/20,21,9538,495,12331,20
10/6/20,22,3967,413,6497,46
10/6/20,23,142,20,2518,3
10/6/20,24,7161,1152,24983,0
10/6/20,25,2140,941,7618,80
10/6/20,26,2200,1165,7306,0
10/6/20,27,2,0,0,0
10/6/20,28,3013,0,0,0
10/6/20,29,192,500,2245,19
10/6/20,30,3670,1504,21266,0
10/6/20,31,217,502,933,29
10/6/20,32,503,452,3609,10
10/6/20,33,446,51,1761,0
10/6/20,34,16147,629,0,0
10/6/20,35,894,155,6496,20
10/6/20,36,1629,479,1689,0
10/6/20,37,25536,1393,94966,0
10/6/20,38,4947,1335,38451,132
10/6/20,39,1066,1364,29641,142
10/6/20,40,581,291,4095,23
10/6/20,41,8244,1036,11040,0
10/6/20,42,696,432,0,0
10/6/20,43,1125,177,2643,14
10/6/20,44,3471,811,13219,48
10/6/20,45,248,278,756,28
10/6/20,46,2621,1676,23942,53
10/6/20,47,16111,4132,60439,0
10/6/20,48,488,716,8705,39
10/6/20,49,3291,625,13629,220
10/6/20,50,20,0,0,0
10/6/20,51,58,4,-69,0
10/6/20,52,2158,402,15106,-6
10/6/20,53,1410,2075,9539,108
10/6/20,54,364,194,2828,0
10/6/20,55,53,141,379,10
10/5/20,0,58,211,2345,0
10/5/20,1,2559,544,4518,279
10/5/20,2,1447,417,6409,36
10/5/20,3,0,0,0,0
10/5/20,4,5707,316,6436,9
10/5/20,5,16149,3055,138339,0
10/5/20,6,1968,521,7903,7
10/5/20,7,4517,823,49488,0
10/5/20,8,631,28,1715,0
10/5/20,9,645,120,1626,0
10/5/20,10,14886,1415,14394,67
10/5/20,11,7192,789,13350,29
10/5/20,12,55,54,555,0
10/5/20,13,156,70,1893,4
10/5/20,14,1389,364,2083,0
10/5/20,15,482,262,1569,3
10/5/20,16,9054,1853,36685,0
10/5/20,17,3681,830,6282,91
10/5/20,18,706,1597,8392,53
10/5/20,19,1214,541,18265,195
10/5/20,20,5586,218,7132,0
10/5/20,21,9530,515,10800,6
10/5/20,22,3961,501,7969,40
10/5/20,23,142,26,17315,0
10/5/20,24,7139,1455,53098,0
10/5/20,25,2136,973,12985,53
10/5/20,26,2174,987,6936,0
10/5/20,27,2,2,9,0
10/5/20,28,3013,215,65812,78
10/5/20,29,190,212,12350,10
10/5/20,30,3637,2258,30690,0
10/5/20,31,191,312,748,14
10/5/20,32,501,404,3195,9
10/5/20,33,444,35,2012,0
10/5/20,34,16138,511,23453,17
10/5/20,35,892,181,6252,12
10/5/20,36,1623,337,2838,0
10/5/20,37,25527,933,75471,0
10/5/20,38,4931,1057,30454,73
10/5/20,39,1055,665,0,104
